 -0.30353484E-01  0.19584018E-01  0.91868459E-03  0.13638989E-02  0.17139415E-02  0.18417448E-02  0.17139415E-02  0.13638989E-02  0.91868459E-03  0.52502381E-03  0.40964707E-03
  0.40964707E-03 -0.26430493E-01  0.16170065E-01  0.13638989E-02  0.17139415E-02  0.18417448E-02  0.17139415E-02  0.13638989E-02  0.91868459E-03  0.52502381E-03  0.40964707E-03
  0.40964707E-03  0.52502381E-03 -0.22229527E-01  0.12807974E-01  0.17139415E-02  0.18417448E-02  0.17139415E-02  0.13638989E-02  0.91868459E-03  0.52502381E-03  0.40964707E-03
  0.40964707E-03  0.52502381E-03  0.91868459E-03 -0.17977973E-01  0.93516763E-02  0.18417448E-02  0.17139415E-02  0.13638989E-02  0.91868459E-03  0.52502381E-03  0.40964707E-03
  0.40964707E-03  0.52502381E-03  0.91868459E-03  0.13638989E-02 -0.13833595E-01  0.56851447E-02  0.17139415E-02  0.13638989E-02  0.91868459E-03  0.52502381E-03  0.40964707E-03
  0.40964707E-03  0.52502381E-03  0.91868459E-03  0.13638989E-02  0.17139415E-02 -0.98623918E-02  0.17139415E-02  0.13638989E-02  0.91868459E-03  0.52502381E-03  0.40964707E-03
  0.40964707E-03  0.52502381E-03  0.91868459E-03  0.13638989E-02  0.17139415E-02  0.56851447E-02 -0.13833595E-01  0.13638989E-02  0.91868459E-03  0.52502381E-03  0.40964707E-03
  0.40964707E-03  0.52502381E-03  0.91868459E-03  0.13638989E-02  0.17139415E-02  0.18417448E-02  0.93516763E-02 -0.17977973E-01  0.91868459E-03  0.52502381E-03  0.40964707E-03
  0.40964707E-03  0.52502381E-03  0.91868459E-03  0.13638989E-02  0.17139415E-02  0.18417448E-02  0.17139415E-02  0.12807974E-01 -0.22229527E-01  0.52502381E-03  0.40964707E-03
  0.40964707E-03  0.52502381E-03  0.91868459E-03  0.13638989E-02  0.17139415E-02  0.18417448E-02  0.17139415E-02  0.13638989E-02  0.16170065E-01 -0.26430493E-01  0.40964707E-03
  0.40964707E-03  0.52502381E-03  0.91868459E-03  0.13638989E-02  0.17139415E-02  0.18417448E-02  0.17139415E-02  0.13638989E-02  0.91868459E-03  0.19584018E-01 -0.30353484E-01
