 -0.44148837E-02  0.63373759E-03  0.84082607E-04  0.47502802E-03  0.88048011E-03  0.89782472E-03  0.88048011E-03  0.47502802E-03  0.84082607E-04  0.40964941E-05  0.43457790E-07
  0.43457790E-07 -0.42892286E-02  0.59212163E-03  0.47502802E-03  0.88048011E-03  0.89782472E-03  0.88048011E-03  0.47502802E-03  0.84082607E-04  0.40964941E-05  0.43457790E-07
  0.43457790E-07  0.40964941E-05 -0.40879959E-02  0.86182047E-03  0.88048011E-03  0.89782472E-03  0.88048011E-03  0.47502802E-03  0.84082607E-04  0.40964941E-05  0.43457790E-07
  0.43457790E-07  0.40964941E-05  0.84082607E-04 -0.35769014E-02  0.11471234E-02  0.89782472E-03  0.88048011E-03  0.47502802E-03  0.84082607E-04  0.40964941E-05  0.43457790E-07
  0.43457790E-07  0.40964941E-05  0.84082607E-04  0.47502802E-03 -0.30626767E-02  0.10556954E-02  0.88048011E-03  0.47502802E-03  0.84082607E-04  0.40964941E-05  0.43457790E-07
  0.43457790E-07  0.40964941E-05  0.84082607E-04  0.47502802E-03  0.88048011E-03 -0.28874614E-02  0.88048011E-03  0.47502802E-03  0.84082607E-04  0.40964941E-05  0.43457790E-07
  0.43457790E-07  0.40964941E-05  0.84082607E-04  0.47502802E-03  0.88048011E-03  0.10556954E-02 -0.30626767E-02  0.47502802E-03  0.84082607E-04  0.40964941E-05  0.43457790E-07
  0.43457790E-07  0.40964941E-05  0.84082607E-04  0.47502802E-03  0.88048011E-03  0.89782472E-03  0.11471234E-02 -0.35769014E-02  0.84082607E-04  0.40964941E-05  0.43457790E-07
  0.43457790E-07  0.40964941E-05  0.84082607E-04  0.47502802E-03  0.88048011E-03  0.89782472E-03  0.88048011E-03  0.86182047E-03 -0.40879959E-02  0.40964941E-05  0.43457790E-07
  0.43457790E-07  0.40964941E-05  0.84082607E-04  0.47502802E-03  0.88048011E-03  0.89782472E-03  0.88048011E-03  0.47502802E-03  0.59212163E-03 -0.42892286E-02  0.43457790E-07
  0.43457790E-07  0.40964941E-05  0.84082607E-04  0.47502802E-03  0.88048011E-03  0.89782472E-03  0.88048011E-03  0.47502802E-03  0.84082607E-04  0.63373759E-03 -0.44148837E-02
