 -0.33283445E-01  0.17621757E-01  0.16626458E-02  0.21167170E-02  0.21158946E-02  0.19487765E-02  0.21158946E-02  0.21167170E-02  0.16626458E-02  0.10609655E-02  0.86143057E-03
  0.86143057E-03 -0.29843082E-01  0.14982609E-01  0.21167170E-02  0.21158946E-02  0.19487765E-02  0.21158946E-02  0.21167170E-02  0.16626458E-02  0.10609655E-02  0.86143057E-03
  0.86143057E-03  0.10609655E-02 -0.26006212E-01  0.12201492E-01  0.21158946E-02  0.19487765E-02  0.21158946E-02  0.21167170E-02  0.16626458E-02  0.10609655E-02  0.86143057E-03
  0.86143057E-03  0.10609655E-02  0.16626458E-02 -0.22334424E-01  0.89829519E-02  0.19487765E-02  0.21158946E-02  0.21167170E-02  0.16626458E-02  0.10609655E-02  0.86143057E-03
  0.86143057E-03  0.10609655E-02  0.16626458E-02  0.21167170E-02 -0.19311589E-01  0.57921764E-02  0.21158946E-02  0.21167170E-02  0.16626458E-02  0.10609655E-02  0.86143057E-03
  0.86143057E-03  0.10609655E-02  0.16626458E-02  0.21167170E-02  0.21158946E-02 -0.15635307E-01  0.21158946E-02  0.21167170E-02  0.16626458E-02  0.10609655E-02  0.86143057E-03
  0.86143057E-03  0.10609655E-02  0.16626458E-02  0.21167170E-02  0.21158946E-02  0.57921764E-02 -0.19311589E-01  0.21167170E-02  0.16626458E-02  0.10609655E-02  0.86143057E-03
  0.86143057E-03  0.10609655E-02  0.16626458E-02  0.21167170E-02  0.21158946E-02  0.19487765E-02  0.89829519E-02 -0.22334424E-01  0.16626458E-02  0.10609655E-02  0.86143057E-03
  0.86143057E-03  0.10609655E-02  0.16626458E-02  0.21167170E-02  0.21158946E-02  0.19487765E-02  0.21158946E-02  0.12201492E-01 -0.26006212E-01  0.10609655E-02  0.86143057E-03
  0.86143057E-03  0.10609655E-02  0.16626458E-02  0.21167170E-02  0.21158946E-02  0.19487765E-02  0.21158946E-02  0.21167170E-02  0.14982609E-01 -0.29843082E-01  0.86143057E-03
  0.86143057E-03  0.10609655E-02  0.16626458E-02  0.21167170E-02  0.21158946E-02  0.19487765E-02  0.21158946E-02  0.21167170E-02  0.16626458E-02  0.17621757E-01 -0.33283445E-01
