 -0.17005178E-01  0.11635510E-01  0.32157115E-03  0.32971308E-03  0.33469683E-03  0.33637477E-03  0.33469683E-03  0.32971308E-03  0.32157115E-03  0.31050911E-03  0.27508223E-02
  0.27508223E-02 -0.17180491E-01  0.93815719E-02  0.32971308E-03  0.33469683E-03  0.33637477E-03  0.33469683E-03  0.32971308E-03  0.32157115E-03  0.31050911E-03  0.27508223E-02
  0.27508223E-02  0.31050911E-03 -0.14904428E-01  0.71247128E-02  0.33469683E-03  0.33637477E-03  0.33469683E-03  0.32971308E-03  0.32157115E-03  0.31050911E-03  0.27508223E-02
  0.27508223E-02  0.31050911E-03  0.32157115E-03 -0.12631287E-01  0.48646969E-02  0.33637477E-03  0.33469683E-03  0.32971308E-03  0.32157115E-03  0.31050911E-03  0.27508223E-02
  0.27508223E-02  0.31050911E-03  0.32157115E-03  0.32971308E-03 -0.10361303E-01  0.26013748E-02  0.33469683E-03  0.32971308E-03  0.32157115E-03  0.31050911E-03  0.27508223E-02
  0.27508223E-02  0.31050911E-03  0.32157115E-03  0.32971308E-03  0.33469683E-03 -0.80946249E-02  0.33469683E-03  0.32971308E-03  0.32157115E-03  0.31050911E-03  0.27508223E-02
  0.27508223E-02  0.31050911E-03  0.32157115E-03  0.32971308E-03  0.33469683E-03  0.26013748E-02 -0.10361303E-01  0.32971308E-03  0.32157115E-03  0.31050911E-03  0.27508223E-02
  0.27508223E-02  0.31050911E-03  0.32157115E-03  0.32971308E-03  0.33469683E-03  0.33637477E-03  0.48646969E-02 -0.12631287E-01  0.32157115E-03  0.31050911E-03  0.27508223E-02
  0.27508223E-02  0.31050911E-03  0.32157115E-03  0.32971308E-03  0.33469683E-03  0.33637477E-03  0.33469683E-03  0.71247128E-02 -0.14904428E-01  0.31050911E-03  0.27508223E-02
  0.27508223E-02  0.31050911E-03  0.32157115E-03  0.32971308E-03  0.33469683E-03  0.33637477E-03  0.33469683E-03  0.32971308E-03  0.93815719E-02 -0.17180491E-01  0.27508223E-02
  0.27508223E-02  0.31050911E-03  0.32157115E-03  0.32971308E-03  0.33469683E-03  0.33637477E-03  0.33469683E-03  0.32971308E-03  0.32157115E-03  0.11635510E-01 -0.17005178E-01
