 -0.27953688E-01  0.17075083E-01  0.92018075E-03  0.13766028E-02  0.17422993E-02  0.18790432E-02  0.17422993E-02  0.13766028E-02  0.92018075E-03  0.52123710E-03  0.40015875E-03
  0.40015875E-03 -0.24524386E-01  0.14165804E-01  0.13766028E-02  0.17422993E-02  0.18790432E-02  0.17422993E-02  0.13766028E-02  0.92018075E-03  0.52123710E-03  0.40015875E-03
  0.40015875E-03  0.52123710E-03 -0.20817407E-01  0.11314190E-01  0.17422993E-02  0.18790432E-02  0.17422993E-02  0.13766028E-02  0.92018075E-03  0.52123710E-03  0.40015875E-03
  0.40015875E-03  0.52123710E-03  0.92018075E-03 -0.17053536E-01  0.83724377E-02  0.18790432E-02  0.17422993E-02  0.13766028E-02  0.92018075E-03  0.52123710E-03  0.40015875E-03
  0.40015875E-03  0.52123710E-03  0.92018075E-03  0.13766028E-02 -0.13387701E-01  0.52090432E-02  0.17422993E-02  0.13766028E-02  0.92018075E-03  0.52123710E-03  0.40015875E-03
  0.40015875E-03  0.52123710E-03  0.92018075E-03  0.13766028E-02  0.17422993E-02 -0.99209573E-02  0.17422993E-02  0.13766028E-02  0.92018075E-03  0.52123710E-03  0.40015875E-03
  0.40015875E-03  0.52123710E-03  0.92018075E-03  0.13766028E-02  0.17422993E-02  0.52090432E-02 -0.13387701E-01  0.13766028E-02  0.92018075E-03  0.52123710E-03  0.40015875E-03
  0.40015875E-03  0.52123710E-03  0.92018075E-03  0.13766028E-02  0.17422993E-02  0.18790432E-02  0.83724377E-02 -0.17053536E-01  0.92018075E-03  0.52123710E-03  0.40015875E-03
  0.40015875E-03  0.52123710E-03  0.92018075E-03  0.13766028E-02  0.17422993E-02  0.18790432E-02  0.17422993E-02  0.11314190E-01 -0.20817407E-01  0.52123710E-03  0.40015875E-03
  0.40015875E-03  0.52123710E-03  0.92018075E-03  0.13766028E-02  0.17422993E-02  0.18790432E-02  0.17422993E-02  0.13766028E-02  0.14165804E-01 -0.24524386E-01  0.40015875E-03
  0.40015875E-03  0.52123710E-03  0.92018075E-03  0.13766028E-02  0.17422993E-02  0.18790432E-02  0.17422993E-02  0.13766028E-02  0.92018075E-03  0.17075083E-01 -0.27953688E-01
