 -0.66591486E-02  0.35441424E-02  0.11353852E-03  0.34402310E-03  0.66881409E-03  0.83467837E-03  0.66881409E-03  0.34402310E-03  0.11353852E-03  0.24022834E-04  0.35536376E-05
  0.35536376E-05 -0.59346556E-02  0.29296342E-02  0.34402310E-03  0.66881409E-03  0.83467837E-03  0.66881409E-03  0.34402310E-03  0.11353852E-03  0.24022834E-04  0.35536376E-05
  0.35536376E-05  0.24022834E-04 -0.51411157E-02  0.24560946E-02  0.66881409E-03  0.83467837E-03  0.66881409E-03  0.34402310E-03  0.11353852E-03  0.24022834E-04  0.35536376E-05
  0.35536376E-05  0.24022834E-04  0.11353852E-03 -0.42066074E-02  0.20768618E-02  0.83467837E-03  0.66881409E-03  0.34402310E-03  0.11353852E-03  0.24022834E-04  0.35536376E-05
  0.35536376E-05  0.24022834E-04  0.11353852E-03  0.34402310E-03 -0.31777925E-02  0.15387022E-02  0.66881409E-03  0.34402310E-03  0.11353852E-03  0.24022834E-04  0.35536376E-05
  0.35536376E-05  0.24022834E-04  0.11353852E-03  0.34402310E-03  0.66881409E-03 -0.23079043E-02  0.66881409E-03  0.34402310E-03  0.11353852E-03  0.24022834E-04  0.35536376E-05
  0.35536376E-05  0.24022834E-04  0.11353852E-03  0.34402310E-03  0.66881409E-03  0.15387022E-02 -0.31777925E-02  0.34402310E-03  0.11353852E-03  0.24022834E-04  0.35536376E-05
  0.35536376E-05  0.24022834E-04  0.11353852E-03  0.34402310E-03  0.66881409E-03  0.83467837E-03  0.20768618E-02 -0.42066074E-02  0.11353852E-03  0.24022834E-04  0.35536376E-05
  0.35536376E-05  0.24022834E-04  0.11353852E-03  0.34402310E-03  0.66881409E-03  0.83467837E-03  0.66881409E-03  0.24560946E-02 -0.51411157E-02  0.24022834E-04  0.35536376E-05
  0.35536376E-05  0.24022834E-04  0.11353852E-03  0.34402310E-03  0.66881409E-03  0.83467837E-03  0.66881409E-03  0.34402310E-03  0.29296342E-02 -0.59346556E-02  0.35536376E-05
  0.35536376E-05  0.24022834E-04  0.11353852E-03  0.34402310E-03  0.66881409E-03  0.83467837E-03  0.66881409E-03  0.34402310E-03  0.11353852E-03  0.35441424E-02 -0.66591486E-02
